tau,r_mean,power,Pmax,beta
0.100,0.479730,76871.477,50000,1.125
0.105,0.479730,72312.253,50000,1.125
0.110,0.479730,68121.796,50000,1.125
0.115,0.479729,64265.091,50000,1.125
0.120,0.479729,60705.687,50000,1.125
0.125,0.479729,57408.168,50000,1.125
0.130,0.479729,54340.088,50000,1.125
0.135,0.479729,51473.315,50000,1.125
0.140,0.479728,48784.774,50000,1.125
0.145,0.479728,46256.626,50000,1.125
0.150,0.479728,43875.955,50000,1.125
0.155,0.479728,41634.070,50000,1.125
0.160,0.479728,39525.539,50000,1.125
0.165,0.479728,37547.083,50000,1.125
0.170,0.479728,35696.464,50000,1.125
0.175,0.479727,33971.461,50000,1.125
0.180,0.479727,32369.036,50000,1.125
0.185,0.479727,30884.743,50000,1.125
0.190,0.479727,29512.416,50000,1.125
0.195,0.479727,28244.135,50000,1.125
0.200,0.479727,27070.448,50000,1.125
